TREC,tronçons,vitesse,distance,idéal,départ,arrivée,réel,delta,pénalités,Point
OLLIERE,T1,6,"3,8",00:38,09:00,10:24,01:24,00:46,46,46
OLLIERE,T2,"5,5","2,4",00:26,10:29,11:37,01:08,00:41,41,41
OLLIERE,T3,6,"1,5",00:15,00:00,00:00,00:00,00:15,15,15
MONTAUROUX,T1,6,"1,66",00:16,08:15,08:57,00:42,00:25,25,25
MONTAUROUX,T2,"5,5","1,5",00:16,09:02,09:25,00:23,00:06,6,6
MONTAUROUX,T3,6,"4,5",00:45,09:30,10:29,00:59,00:14,14,14
MONTAUROUX,T4,7,"2,5",00:21,10:34,11:07,00:33,00:11,11,11
MONTAUROUX,T5,5,"1,6",00:19,11:12,11:23,00:11,00:08,8,38
MONTAUROUX,T6,"6,5","1,66",00:15,11:24,11:56,00:32,00:16,16,46
RIDE&FUN,T1,7,"1,6",00:13,13:55,14:22,00:27,00:13,13,43
RIDE&FUN,T2,"8,5","8,1",00:57,14:27,15:42,01:15,00:17,17,77
RIDE&FUN,T3,9,"2,2",00:30,15:47,16:38,00:51,00:21,21,141
RIDE&FUN,T4,"7,5","7,6",01:00,16:43,18:00,01:17,00:16,16,76
AUPS,T1,,,,,,,,,227
